time,Bus1_A,Bus1_B,Bus1_C,Bus2_A,Bus2_B,Bus2_C,Bus3_A,Bus3_B,Bus3_C,Bus5_A,Bus5_B,Bus5_C,Bus6_A,Bus6_B,Bus6_C,Bus8_A,Bus8_B,Bus8_C,Bus9_A,Bus9_B,Bus9_C
0,-23.96033,-46.03088,69.99121,-23.71982,-45.21712,68.93694,-25.94525,-43.64657,69.59183,-28.58182,-35.10596,63.68778,-32.23064,-27.72269,59.95334,-42.053,-113.8491,155.9021,-40.23808,-13.32155,53.55962
0.0001001001,0.7078279,-91.23563,90.5278,-2.658844,-83.9725,86.63135,-13.93967,-65.05861,78.99828,-20.70332,-49.80494,70.50826,-18.86752,-51.83131,70.69884,-37.24627,-108.6168,145.863,-37.60458,-39.10245,76.70703
0.0002002002,0.1890589,-86.41373,86.22468,-1.815177,-82.27597,84.09114,-7.634599,-74.6257,82.2603,-15.75285,-58.48492,74.23778,-18.52151,-50.2626,68.78411,-32.56873,-102.9202,135.4889,-34.45657,-44.0038,78.46038
0.0003003003,0.5580932,-83.32542,82.76733,-0.6606764,-80.96386,81.62453,-3.942823,-78.63708,82.5799,-12.09343,-63.82481,75.91824,-17.60031,-49.92808,67.52839,-28.0498,-96.81326,124.8631,-31.65388,-33.00597,64.65985
0.0004004004,1.531842,-81.38503,79.85319,0.7551575,-80.03151,79.27635,-1.410963,-80.09488,81.50584,-9.173467,-67.04704,76.2205,-16.29061,-50.3394,66.63001,-23.72865,-91.33727,115.0659,-29.01505,-48.30994,77.32498
0.0005005005,2.917832,-80.24366,77.32583,2.383369,-79.46803,77.08466,0.647836,-80.45222,79.80438,-6.686014,-69.00665,75.69267,-14.72036,-51.20757,65.92793,-19.62004,-87.13194,106.752,-26.23751,-52.00372,78.24123
0.0006006006,4.590168,-79.57214,74.98198,4.181911,-79.09177,74.90985,2.554141,-80.38448,77.83033,-4.435304,-70.21049,74.6458,-12.97248,-52.33731,65.30979,-15.7275,-83.88641,99.61391,-23.70408,-43.63396,67.33804
0.0007007007,6.464386,-79.2247,72.76031,6.114892,-78.88897,72.77408,4.451345,-80.19082,75.73947,-2.299805,-70.95145,73.25125,-11.10131,-53.59463,64.69595,-12.04797,-81.50961,93.55759,-21.2871,-53.3483,74.6354
0.0008008008,8.483567,-79.13226,70.6487,8.154285,-78.86854,70.71425,6.39783,-80.0139,73.61607,-0.2075729,-71.46891,71.67648,-9.143037,-54.91278,64.05582,-8.566759,-79.80568,88.37244,-18.75039,-56.85744,75.60783
0.0009009009,10.60751,-79.17144,68.56393,10.27669,-78.91724,68.64055,8.411944,-79.90193,71.48999,1.881612,-71.87624,69.99463,-7.122139,-56.24218,63.36432,-5.267674,-78.25391,83.52159,-16.34901,-50.96434,67.31336
0.001001001,12.80626,-79.29841,66.49215,12.46176,-79.0266,66.56483,10.49349,-79.85683,69.36334,3.987204,-72.21188,68.22468,-5.0559,-57.54279,62.59869,-2.136533,-76.78524,78.92178,-14.02609,-57.1147,71.14079
0.001101101,15.05793,-79.50569,64.44776,14.69348,-79.21352,64.52005,12.63438,-79.87738,67.243,6.11646,-72.53363,66.41717,-2.95687,-58.80143,61.7583,0.8436496,-75.46796,74.62431,-11.61011,-60.17273,71.78284
0.001201201,17.34566,-79.7334,62.38774,16.95835,-79.40685,62.44849,14.82385,-79.94988,65.12604,8.270105,-72.85526,64.58516,-0.8343427,-60.00603,60.84037,3.687555,-74.15573,70.46818,-9.271643,-56.07817,65.34981
0.001301301,19.65562,-79.96272,60.3071,19.24427,-79.59918,60.35492,17.05054,-80.05296,63.00241,10.44476,-73.16065,62.71589,1.304358,-61.14251,59.83815,6.406021,-72.92401,66.51799,-6.993544,-59.94651,66.94005
0.001401401,21.97701,-80.19946,58.22245,21.54156,-79.80764,58.26608,19.30363,-80.17519,60.87155,12.63516,-73.46309,60.82793,3.453266,-62.21025,58.75698,9.010566,-71.87773,62.86716,-4.652713,-62.53466,67.18737
0.001501502,24.30098,-80.41014,56.10915,23.84197,-79.98721,56.14524,21.57332,-80.30341,58.73009,14.83561,-73.75896,58.92336,5.607459,-63.20729,57.59983,11.51098,-70.90429,59.39331,-2.361104,-59.81515,62.17625
0.001601602,26.61973,-80.58388,53.96414,26.13783,-80.1312,53.99337,23.85078,-80.42145,56.57067,17.04012,-74.02808,56.98796,7.762622,-64.12766,56.36504,13.91423,-70.00298,56.08875,-0.1211396,-62.27584,62.39698
0.001701702,28.92684,-80.72855,51.80171,28.42289,-80.25456,51.83168,26.12817,-80.52112,54.39295,19.24288,-74.2738,55.03092,9.914888,-64.97314,55.05825,16.22773,-69.21433,52.9866,2.155041,-64.41801,62.26297
0.001801802,31.21682,-80.82451,49.60769,30.69171,-80.32919,49.63748,28.39859,-80.59423,52.19564,21.43865,-74.49235,53.0537,12.0608,-65.74445,53.68364,18.45788,-68.44488,49.987,4.395608,-62.6586,58.26299
0.001901902,33.48458,-80.86433,47.37976,32.93911,-80.34914,47.41003,30.65592,-80.63036,49.97445,23.62251,-74.66835,51.04585,14.19715,-66.43858,52.24144,20.60904,-67.68407,47.07502,6.589359,-64.17262,57.58326
0.002002002,35.72576,-80.85506,45.1293,35.16072,-80.32651,45.16579,32.89467,-80.62443,47.72976,25.78988,-74.80279,49.0129,16.32089,-67.05729,50.7364,22.68575,-66.97076,44.28501,8.798072,-65.87217,57.0741
0.002102102,37.93653,-80.78516,42.84863,37.35268,-80.2441,42.89142,35.11002,-80.57182,45.4618,27.93677,-74.89386,46.95709,18.4292,-67.60187,49.17267,24.69194,-66.25433,41.56239,10.9772,-64.74584,53.76864
0.002202202,40.11321,-80.64912,40.53591,39.51124,-80.09663,40.58539,37.2976,-80.46609,43.16849,30.05944,-74.93114,44.8717,20.51938,-68.07069,47.55132,26.63011,-65.52841,38.8983,13.11187,-65.59216,52.48029
