time,Bus1_A,Bus1_B,Bus1_C,Bus2_A,Bus2_B,Bus2_C,Bus3_A,Bus3_B,Bus3_C,Bus5_A,Bus5_B,Bus5_C,Bus6_A,Bus6_B,Bus6_C,Bus8_A,Bus8_B,Bus8_C,Bus9_A,Bus9_B,Bus9_C
0,-23.96033,-46.03088,69.99121,-23.71982,-45.21712,68.93694,-25.94525,-43.64657,69.59183,-28.58182,-35.10596,63.68778,-32.23064,-27.72269,59.95334,-42.053,-107.3125,149.3655,-40.23808,-13.32155,53.55962
0.0001001001,-0.6634276,-88.58909,89.25252,-3.812819,-81.71674,85.52956,-14.54393,-63.86073,78.40466,-21.07249,-49.01191,70.0844,-19.58237,-50.46621,70.04858,-37.47684,-102.4979,139.9748,-37.68968,-37.64096,75.33065
0.0002002002,-1.02057,-84.15986,85.18043,-2.892438,-80.22153,83.11397,-8.494974,-72.94762,81.4426,-16.31149,-57.26275,73.57424,-19.15782,-49.09202,68.24983,-33.01954,-97.25018,130.2697,-34.65549,-42.35302,77.00851
0.0003003003,-0.542654,-81.35584,81.8985,-1.67893,-79.08434,80.76327,-4.899246,-76.8135,81.71275,-12.76161,-62.37411,75.13572,-18.19128,-48.87517,67.06645,-28.70882,-91.61014,120.319,-31.94383,-32.11581,64.05964
0.0004004004,0.5042322,-79.62689,79.12267,-0.218943,-78.30089,78.51983,-2.391639,-78.27832,80.66995,-9.904795,-65.49426,75.39906,-16.85825,-49.35682,66.21506,-24.58151,-86.56516,111.1467,-29.38354,-46.59141,75.97496
0.0005005005,1.939208,-78.6452,76.70599,1.441422,-77.86074,76.41932,-0.327265,-78.70658,79.03385,-7.45291,-67.42611,74.87902,-15.27896,-50.26547,65.54443,-20.65154,-82.71282,103.3644,-26.69095,-50.15575,76.84669
0.0006006006,3.643914,-78.10152,74.45761,3.262548,-77.59322,74.33068,1.594808,-78.7325,77.13769,-5.222215,-68.64555,73.86777,-13.53141,-51.41764,64.94905,-16.9223,-79.76053,96.68282,-24.22566,-42.38784,66.61349
0.0007007007,5.538888,-77.85892,72.32002,5.210598,-77.48537,72.27478,3.50913,-78.63695,75.12782,-3.098682,-69.42754,72.52623,-11.66674,-52.68739,64.35413,-13.391,-77.62369,91.01468,-21.86774,-51.61835,73.4861
0.0008008008,7.570537,-77.85238,70.28184,7.259117,-77.54543,70.28632,5.470401,-78.55384,73.08344,-1.014856,-69.99691,71.01176,-9.719022,-54.01196,63.73099,-10.0439,-76.1179,86.16179,-19.39556,-55.00367,74.39922
0.0009009009,9.700963,-77.96597,68.26501,9.385994,-77.66702,68.28103,7.495719,-78.52837,71.03265,1.06692,-70.45998,69.39307,-7.711377,-55.34468,63.05606,-6.865868,-74.75346,81.61932,-17.04861,-49.56335,66.61196
0.001001001,11.90192,-78.15844,66.25652,11.57198,-77.84203,66.27005,9.584768,-78.56224,68.97747,3.164797,-70.85281,67.68801,-5.660137,-56.64786,62.30799,-3.843674,-73.46588,77.30956,-14.77375,-55.43732,70.21107
0.001101101,14.15269,-78.42271,64.27002,13.80192,-78.08635,64.28443,11.72983,-78.65426,66.92443,5.285473,-71.22961,65.94413,-3.577198,-57.90905,61.48624,-0.9614456,-72.31933,73.28078,-12.40981,-58.38928,70.7991
