time,Bus1_A,Bus1_B,Bus1_C,Bus2_A,Bus2_B,Bus2_C,Bus3_A,Bus3_B,Bus3_C,Bus5_A,Bus5_B,Bus5_C,Bus6_A,Bus6_B,Bus6_C,Bus8_A,Bus8_B,Bus8_C,Bus9_A,Bus9_B,Bus9_C
0,-23.96033,-46.03088,69.99121,-23.71982,-45.21712,68.93694,-25.94525,-43.64657,69.59183,-28.58182,-35.10596,63.68778,-32.23064,-27.72269,59.95334,-42.053,-110.3849,152.4379,-40.23808,-13.32155,53.55962
0.0001001001,-0.0188902,-89.83306,89.85195,-3.270416,-82.77703,86.04745,-14.25995,-64.42369,78.68364,-20.89899,-49.38463,70.28362,-19.24637,-51.10786,70.35423,-37.36847,-105.3738,142.7422,-37.64964,-38.32257,75.97221
0.0002002002,-0.452015,-85.21923,85.67125,-2.386097,-81.18717,83.57327,-8.090559,-73.7364,81.82696,-16.04891,-57.83722,73.88612,-18.85874,-49.64222,68.50095,-32.80765,-99.91589,132.7235,-34.56199,-43.1344,77.6964
0.0003003003,-0.0252715,-82.28161,82.30688,-1.200322,-79.96777,81.1681,-4.4497,-77.67063,82.12033,-12.44754,-63.05598,75.50352,-17.91351,-49.37007,67.28358,-28.39907,-94.0557,122.4548,-31.80752,-32.53447,64.34198
0.0004004004,0.9872351,-80.45325,79.46602,0.2389104,-79.11431,78.8754,-1.93069,-79.13216,81.06285,-9.561047,-66.22412,75.78516,-16.59144,-49.81865,66.4101,-24.18064,-88.80814,112.9888,-29.21039,-47.39761,76.608
0.0005005005,2.399188,-79.39651,76.99732,1.884163,-78.6162,76.73204,0.1310613,-79.52708,79.39602,-7.092446,-68.169,75.26144,-15.0164,-50.70828,65.72469,-20.16671,-84.78946,104.9562,-26.47787,-51.03258,77.51045
0.0006006006,4.088676,-78.79277,74.70409,3.694673,-78.29761,74.60294,2.045722,-79.50898,77.46326,-4.852342,-69.38114,74.23348,-13.2687,-51.84991,65.11861,-16.36071,-81.6993,98.06001,-23.9804,-42.96646,66.94686
0.0007007007,5.973898,-78.50087,72.52697,5.635643,-78.1451,72.50945,3.951998,-79.36731,75.41531,-2.723187,-70.14383,72.86702,-11.40097,-53.11382,64.51479,-12.75973,-79.45013,92.20986,-21.59484,-52.42473,74.01957
0.0008008008,7.999687,-78.45395,70.45426,7.679872,-78.16732,70.48744,5.906319,-79.24011,73.33379,-0.6354096,-70.68878,71.3242,-9.448293,-54.43538,63.88367,-9.349599,-77.85133,87.20094,-19.09237,-55.87947,74.97184
0.0009009009,10.12706,-78.53256,68.40549,9.804647,-78.25464,68.44999,7.926371,-79.17398,71.24761,1.449849,-71.12566,69.67582,-7.434418,-55.76653,63.20095,-6.114672,-76.39853,82.5132,-16.71986,-50.22003,66.9399
0.001001001,12.32699,-78.69426,66.36727,11.9902,-78.39882,66.40862,10.01189,-79.17073,69.15884,3.551351,-71.49161,67.94025,-5.376129,-57.0685,62.44463,-3.041271,-75.02601,78.06728,-14.42231,-56.23023,70.65254
0.001101101,14.57818,-78.93175,64.35357,14.22098,-78.61617,64.39519,12.15499,-79.22916,67.07417,5.67606,-71.84254,66.16648,-3.285626,-58.32849,61.61412,-0.1129986,-73.79929,73.91228,-12.03389,-59.2251,71.25899
0.001201201,16.86426,-79.187,62.32274,16.48384,-78.83771,62.35387,14.34517,-79.33596,64.99079,7.824614,-72.1917,64.3671,-1.171964,-59.53478,60.70674,2.684304,-72.57651,69.8922,-9.719881,-55.31125,65.03114
0.001301301,19.17179,-79.44186,60.27007,18.76699,-79.0564,60.28941,16.57138,-79.4704,62.89902,9.993679,-72.52349,62.52981,0.95771,-60.67369,59.71598,5.361084,-71.43102,66.06992,-7.463367,-59.10766,66.57103
0.001401401,21.49023,-79.70185,58.21162,21.06101,-79.28868,58.22767,18.82306,-79.62141,60.79835,12.17809,-72.85073,60.67264,3.097564,-61.7446,58.64704,7.928447,-70.46407,62.53563,-5.14546,-61.64792,66.79338
0.001501502,23.81095,-79.93453,56.12359,23.35783,-79.49092,56.13309,21.09067,-79.77621,58.68555,14.37227,-73.16987,58.7976,5.242774,-62.74556,57.50279,10.39581,-69.56657,59.17076,-2.874717,-59.06026,61.93498
0.001601602,26.12632,-80.1294,54.00309,25.64997,-79.65672,54.00675,23.36559,-79.91912,56.55353,16.57038,-73.46134,56.89096,7.389105,-63.67077,56.28166,12.76988,-68.73814,55.96825,-0.6532097,-61.49349,62.1467
0.001701702,28.43007,-80.29403,51.86396,27.93131,-79.80048,51.86916,25.64016,-80.04218,54.40203,18.76671,-73.72839,54.96168,9.532754,-64.52191,54.98915,15.05779,-68.01765,52.95986,1.60386,-63.59632,61.99246
0.001801802,30.7168,-80.40933,49.69253,30.19652,-79.89491,49.69839,27.90763,-80.13745,52.22982,20.95613,-73.9673,53.01117,11.67032,-65.29964,53.62932,17.26567,-67.31463,50.04896,3.826797,-61.93428,58.10748
0.001901902,32.98154,-80.46818,47.48664,32.4405,-79.93435,47.49385,30.16201,-80.19481,50.03279,23.13382,-74.16318,51.02936,13.79862,-66.00102,52.2024,19.39769,-66.61908,47.22139,6.004999,-63.44814,57.44313
0.002002002,35.21999,-80.47733,45.25734,34.65897,-79.93044,45.27146,32.39794,-80.20934,47.8114,25.2953,-74.31697,49.02167,15.91467,-66.62774,50.71307,21.45822,-65.96842,44.51021,8.198075,-65.12563,56.92756
0.002102102,37.42836,-80.42556,42.99721,36.84813,-79.86645,43.01832,34.61065,-80.17651,45.56587,27.4366,-74.42688,46.99028,18.01567,-67.18099,49.16533,23.45097,-65.31341,41.86244,10.36265,-64.06538,53.70273
0.002202202,39.60304,-80.30759,40.70456,39.00426,-79.73735,40.73309,36.79586,-80.09011,43.29425,29.55407,-74.48279,44.92872,20.09894,-67.65919,47.56025,25.37834,-64.64817,39.26983,12.48459,-64.92595,52.44136
0.002302302,41.7408,-80.12885,38.38804,41.12414,-79.55212,38.42797,38.94967,-79.94717,40.9975,31.64429,-74.48486,42.84058,22.16191,-68.06355,45.90163,27.24272,-64.00291,36.76019,14.60503,-66.21229,51.60725
0.002402402,43.83875,-79.88303,36.04429,43.20484,-79.30103,36.09618,41.06857,-79.74536,38.67679,33.70419,-74.43286,40.72867,24.20214,-68.39532,44.19317,29.04625,-63.34663,34.30038,16.6985,-65.53863,48.84013
0.002502502,45.89405,-79.56612,33.67207,45.24352,-78.97961,33.73609,43.14934,-79.481,36.33165,35.73093,-74.32025,38.58932,26.21727,-68.65367,42.4364,30.79015,-62.66838,31.87823,18.74969,-65.9175,47.16782
0.002602603,47.90412,-79.18224,31.27813,47.23755,-78.5946,31.35706,45.18898,-79.15234,33.96337,37.7218,-74.14681,36.42501,28.205,-68.83939,40.6344,32.47562,-61.98796,29.51235,20.7862,-66.84461,46.05842
0.002702703,49.86658,-78.72847,28.86189,49.18459,-78.14112,28.95654,47.18475,-78.75844,31.57369,39.67434,-73.91325,34.23892,30.16313,-68.9537,38.79057,34.10378,-61.28681,27.18303,22.79499,-66.39455,43.59956
0.002802803,51.77912,-78.20165,26.42253,51.08229,-77.61519,26.5329,49.13408,-78.29724,29.16316,41.58622,-73.6156,32.02938,32.08954,-68.99624,36.9067,35.67516,-60.55303,24.87787,24.76083,-66.40449,41.64365
0.002902903,53.63959,-77.60487,23.96528,52.92852,-77.02175,24.09323,51.03461,-77.76789,26.73329,43.45523,-73.25342,29.79819,33.98216,-68.9676,34.98543,37.19024,-59.8006,22.61036,26.70102,-66.98788,40.28686
0.003003003,55.44595,-76.93741,21.49146,54.72126,-76.35915,21.63789,52.88405,-77.1702,24.28615,45.27928,-72.82787,27.54859,35.83899,-68.86883,33.02983,38.64946,-59.02145,20.37199,28.61111,-66.66546,38.05435
0.003103103,57.19625,-76.19702,19.00077,56.45856,-75.6242,19.16564,54.68031,-76.50333,21.82303,47.05642,-72.33692,25.2805,37.65811,-68.70004,31.04194,40.05296,-58.20473,18.15178,30.47729,-66.37482,35.89754
0.003203203,58.88865,-75.38581,16.49716,58.13859,-74.82016,16.68157,56.42141,-75.76698,19.34557,48.78479,-71.77999,22.99521,39.43764,-68.46168,29.02403,41.40075,-57.3591,15.95835,32.30854,-66.61861,34.31006
0.003303303,60.52138,-74.50452,13.98314,59.75959,-73.9476,14.18801,58.10542,-74.96144,16.85602,50.46254,-71.15839,20.69586,41.17575,-68.15468,26.97893,42.69287,-56.48313,13.79027,34.10595,-66.34071,32.23476
0.003403403,62.09282,-73.5519,11.45908,61.31997,-73.00433,11.68437,59.73061,-74.08679,14.35618,52.08804,-70.47157,18.38353,42.87072,-67.77958,24.90886,43.92925,-55.56763,11.63837,35.8583,-65.83913,29.98083
0.003503504,63.60131,-72.52925,8.927932,62.81807,-71.99229,9.174215,61.29525,-73.14307,11.84782,53.65962,-69.71898,16.05935,44.52083,-67.33672,22.81589,45.10963,-54.61667,9.507042,37.56847,-65.73701,28.16854
0.003603604,65.04542,-71.43819,6.392776,64.25249,-70.91329,6.660807,62.79777,-72.13104,9.333269,55.17577,-68.90193,13.72617,46.12447,-66.82712,20.70264,46.23388,-53.6324,7.39852,39.23981,-65.42007,26.18026
