time,Bus1_A,Bus1_B,Bus1_C,Bus2_A,Bus2_B,Bus2_C,Bus3_A,Bus3_B,Bus3_C,Bus5_A,Bus5_B,Bus5_C,Bus6_A,Bus6_B,Bus6_C,Bus8_A,Bus8_B,Bus8_C,Bus9_A,Bus9_B,Bus9_C
0,-23.96033,-46.03088,69.99121,-23.71982,-45.21712,68.93694,-25.94525,-43.64657,69.59183,-28.58182,-35.10596,63.68778,-32.23064,-27.72269,59.95334,-42.053,-110.3754,152.4284,-40.23808,-13.32155,53.55962
0.0001001001,-0.02088174,-89.82922,89.8501,-3.272092,-82.77375,86.04585,-14.26083,-64.42195,78.68278,-20.89952,-49.38347,70.283,-19.2474,-51.10588,70.35329,-37.36881,-105.3649,142.7337,-37.64976,-38.32034,75.97009
0.0002002002,-0.453772,-85.21596,85.66973,-2.387661,-81.18419,83.57185,-8.091809,-73.73396,81.82577,-16.04972,-57.83544,73.88516,-18.85966,-49.64052,68.50018,-32.8083,-99.90765,132.716,-34.56228,-43.13198,77.69426
0.0003003003,-0.02687039,-82.27875,82.30562,-1.201801,-79.96504,81.16685,-4.451089,-77.66798,82.11907,-12.44851,-63.05387,75.50239,-17.91437,-49.36854,67.28291,-28.40002,-94.04815,122.4482,-31.80794,-32.53317,64.34111
0.0004004004,0.9857426,-80.4507,79.46496,0.2374955,-79.11179,78.8743,-1.932114,-79.12952,81.06164,-9.562109,-66.22186,75.78397,-16.59227,-49.81723,66.40949,-24.18188,-88.8012,112.9831,-29.21093,-47.39506,76.60599
0.0005005005,2.397766,-79.39419,76.99642,1.882794,-78.61387,76.73107,0.1296449,-79.52454,79.3949,-7.09356,-68.1667,75.26026,-15.01721,-50.70691,65.72413,-20.16821,-84.78304,104.9512,-26.47853,-51.02989,77.50842
0.0006006006,4.087302,-78.79063,74.70333,3.693337,-78.29543,74.60209,2.044328,-79.50658,77.46225,-4.853485,-69.37887,74.23235,-13.26951,-51.84858,65.11809,-16.36244,-81.6933,98.05574,-23.98116,-42.96438,66.94553
0.0007007007,5.972554,-78.49889,72.52634,5.634329,-78.14306,72.50873,3.950629,-79.36505,75.41443,-2.724347,-70.14162,72.86597,-11.40179,-53.11251,64.5143,-12.76168,-79.4445,92.20618,-21.59568,-52.4221,74.01778
0.0008008008,7.998361,-78.4521,70.45374,7.678572,-78.1654,70.48682,5.904972,-79.23799,73.33302,-0.6365823,-70.68665,71.32323,-9.449129,-54.43407,63.88319,-9.351745,-77.84598,87.19772,-19.0933,-55.87667,74.96997
0.0009009009,10.12575,-78.53081,68.40506,9.803354,-78.25282,68.44947,7.92504,-79.17199,71.24695,1.448665,-71.12361,69.67494,-7.435274,-55.76523,63.2005,-6.116993,-76.39343,82.51043,-16.72088,-50.21758,66.93846
0.001001001,12.32567,-78.6926,66.36693,11.98891,-78.39709,66.40818,10.01057,-79.16885,69.15828,3.550157,-71.48963,67.93948,-5.377007,-57.0672,62.44421,-3.043749,-75.02122,78.06498,-14.42342,-56.22553,70.64896
0.001101101,14.57687,-78.93016,64.35329,14.21968,-78.6145,64.39481,12.15368,-79.22739,67.07371,5.674854,-71.84064,66.16579,-3.286526,-58.32719,61.61372,-0.115627,-73.79445,73.91007,-12.03514,-59.21722,71.25237
