time,Bus1_A,Bus1_B,Bus1_C,Bus2_A,Bus2_B,Bus2_C,Bus3_A,Bus3_B,Bus3_C,Bus5_A,Bus5_B,Bus5_C,Bus6_A,Bus6_B,Bus6_C,Bus8_A,Bus8_B,Bus8_C,Bus9_A,Bus9_B,Bus9_C
0,-23.96033,-46.03088,69.99121,-23.71982,-45.21712,68.93694,-25.94525,-43.64657,69.59183,-28.58182,-35.10596,63.68778,-32.23064,-27.72269,59.95334,-42.053,-108.8495,150.9025,-40.23808,-13.32155,53.55962
0.0001001001,-0.3409928,-89.2114,89.5524,-3.54148,-82.24717,85.78865,-14.40189,-64.1423,78.5442,-20.9857,-49.19834,70.18404,-19.41428,-50.78721,70.20149,-37.42263,-103.9361,141.3587,-37.66961,-37.98255,75.65215
0.0002002002,-0.7361367,-84.68983,85.42596,-2.639136,-80.70458,83.34371,-8.292704,-73.34213,81.63483,-16.18015,-57.55009,73.73024,-19.0082,-49.36728,68.37547,-32.91354,-98.58217,131.4957,-34.60879,-42.73534,77.34413
0.0003003003,-0.283843,-81.81894,82.10278,-1.43951,-79.52627,80.96578,-4.674343,-77.24232,81.91666,-12.60449,-62.71526,75.31975,-18.05233,-49.12273,67.17506,-28.55387,-92.83465,121.3885,-31.87563,-32.31479,64.19042
0.0004004004,0.7458552,-80.04028,79.29443,0.01009861,-78.7078,78.69771,-2.16105,-78.70545,80.8665,-9.732836,-65.85937,75.59221,-16.72478,-49.58785,66.31263,-24.38098,-87.68719,112.0682,-29.29692,-46.99448,76.2914
0.0005005005,2.169312,-79.02103,76.85172,1.662903,-78.23866,76.57575,-0.09798688,-79.11703,79.21503,-7.272587,-67.79774,75.07033,-15.14762,-50.48698,65.6346,-20.40901,-83.75149,104.1605,-26.58438,-50.5972,77.18157
0.0006006006,3.866405,-78.44733,74.58092,3.478718,-77.9456,74.46688,1.820378,-79.12093,77.30056,-5.037185,-69.01353,74.05072,-13.39999,-51.63388,65.03387,-16.64136,-80.7302,97.37157,-24.10293,-42.67433,66.77726
0.0007007007,5.756503,-78.18005,72.42355,5.423227,-77.81541,72.39218,3.730675,-79.00231,75.27164,-2.910841,-69.78587,72.69671,-11.53379,-52.90071,64.4345,-13.07521,-78.53743,91.61264,-21.73121,-52.01848,73.74969
0.0008008008,7.785219,-78.15331,70.3681,7.4696,-77.85653,70.38693,5.688469,-78.89715,73.20868,-0.8250376,-70.34302,71.16805,-9.58359,-54.22377,63.80737,-9.696573,-76.98505,86.68162,-19.24389,-55.44306,74.68695
0.0009009009,9.914121,-78.24942,68.3353,9.595426,-77.961,68.36557,7.711153,-78.85133,71.14018,1.25848,-70.79299,69.53452,-7.572828,-55.55571,63.12854,-6.490082,-75.57662,82.0667,-16.88408,-49.89345,66.77753
0.001001001,12.11456,-78.42648,66.31193,11.7812,-78.12057,66.33937,9.798438,-78.86664,69.06821,3.358171,-71.17238,67.81421,-5.518062,-56.85829,62.37635,-3.442273,-74.24644,77.68871,-14.59792,-55.8257,70.42362
0.001101101,14.36554,-78.67734,64.3118,14.01155,-78.35136,64.33981,11.94252,-78.94186,66.99934,5.480865,-71.53622,66.05535,-3.431339,-58.11887,61.55021,-0.5370129,-73.05961,73.59662,-12.22186,-58.81161,71.03348
