time,Bus1_A,Bus1_B,Bus1_C,Bus2_A,Bus2_B,Bus2_C,Bus3_A,Bus3_B,Bus3_C,Bus5_A,Bus5_B,Bus5_C,Bus6_A,Bus6_B,Bus6_C,Bus8_A,Bus8_B,Bus8_C,Bus9_A,Bus9_B,Bus9_C
0,-23.96033,-46.03088,69.99121,-23.71982,-45.21712,68.93694,-25.94525,-43.64657,69.59183,-28.58182,-35.10596,63.68778,-32.23064,-27.72269,59.95334,-42.053,-109.1822,151.2352,-40.23808,-13.32155,53.55962
0.0001001001,-0.2711996,-89.34611,89.61731,-3.482748,-82.36198,85.84473,-14.37116,-64.20323,78.57439,-20.96692,-49.23869,70.20561,-19.3779,-50.85669,70.23459,-37.4109,-104.2475,141.6584,-37.66526,-38.05323,75.7185
0.0002002002,-0.6745829,-84.80452,85.4791,-2.584312,-80.80914,83.39346,-8.248888,-73.42759,81.67648,-16.15171,-57.61232,73.76402,-18.97582,-49.42684,68.40266,-32.8906,-98.87189,131.7625,-34.59863,-42.82692,77.42555
0.0003003003,-0.2278112,-81.9192,82.14701,-1.387682,-79.62193,81.00961,-4.625684,-77.33509,81.96078,-12.57049,-62.78905,75.35954,-18.02225,-49.17633,67.19858,-28.52033,-93.09834,121.6187,-31.86089,-32.37054,64.23143
0.0004004004,0.7981566,-80.12977,79.33161,0.05967585,-78.79589,78.73622,-2.11114,-78.7979,80.90904,-9.695617,-65.93839,75.63401,-16.69589,-49.63786,66.33375,-24.33757,-87.93005,112.2676,-29.27814,-47.08216,76.3603
0.0005005005,2.219119,-79.1024,76.88328,1.710843,-78.32047,76.60963,-0.04835982,-79.20588,79.25424,-7.233557,-67.87819,75.11174,-15.11919,-50.53493,65.65412,-20.35651,-83.97679,104.3333,-26.56124,-50.68562,77.24686
0.0006006006,3.914566,-78.52216,74.6076,3.525509,-78.02184,74.49634,1.869202,-79.20501,77.33581,-4.997137,-69.09317,74.09031,-13.37155,-51.68069,65.05223,-16.58055,-80.94048,97.52104,-24.07647,-42.74001,66.81647
0.0007007007,5.803606,-78.24957,72.44597,5.469251,-77.88685,72.41759,3.778628,-79.08139,75.30276,-2.870182,-69.86342,72.7336,-11.50501,-52.94689,64.4519,-13.00686,-78.73527,91.74213,-21.70164,-52.11275,73.8144
0.0008008008,7.831688,-78.21846,70.38677,7.51516,-77.92388,70.40872,5.735671,-78.97146,73.23579,-0.7839514,-70.41795,71.2019,-9.554275,-54.26962,63.8239,-9.621397,-77.17272,86.79411,-19.21101,-55.53139,74.74241
0.0009009009,9.960258,-78.31076,68.3505,9.640758,-78.0246,68.38385,7.757784,-78.92124,71.16346,1.299944,-70.86507,69.56513,-7.542839,-55.60139,63.14423,-6.408742,-75.75455,82.1633,-16.84855,-49.96294,66.81149
