time,Bus1_A,Bus1_B,Bus1_C,Bus2_A,Bus2_B,Bus2_C,Bus3_A,Bus3_B,Bus3_C,Bus5_A,Bus5_B,Bus5_C,Bus6_A,Bus6_B,Bus6_C,Bus8_A,Bus8_B,Bus8_C,Bus9_A,Bus9_B,Bus9_C
0,-23.96033,-46.03088,69.99121,-23.71982,-45.21712,68.93694,-25.94525,-43.64657,69.59183,-28.58182,-35.10596,63.68778,-32.23064,-27.72269,59.95334,-42.053,-113.3401,155.3931,-40.23808,-13.32155,53.55962
0.0001001001,0.601072,-91.0296,90.42853,-2.748689,-83.79689,86.54559,-13.98676,-64.96527,78.95203,-20.73208,-49.74316,70.47524,-18.92317,-51.72504,70.64822,-37.26423,-108.1398,145.404,-37.61115,-38.98785,76.59899
0.0002002002,0.09487832,-86.23826,86.14338,-1.899051,-82.11603,84.01508,-7.701584,-74.49506,82.19664,-15.79635,-58.38977,74.18612,-18.57105,-50.17147,68.74252,-32.60382,-102.4787,135.0826,-34.47202,-43.87138,78.3434
0.0003003003,0.472372,-83.17204,82.69966,-0.7399637,-80.8175,81.55746,-4.017253,-78.49518,82.51244,-12.14543,-63.71195,75.85738,-17.64634,-49.84608,67.49242,-28.10111,-96.41035,124.5115,-31.67645,-32.9161,64.59254
0.0004004004,1.451836,-81.24815,79.79632,0.6793162,-79.89677,79.21746,-1.487318,-79.95345,81.44076,-9.230408,-66.92613,76.15654,-16.3348,-50.2629,66.5977,-23.79505,-90.96585,114.7609,-29.04371,-48.17856,77.22227
0.0005005005,2.841638,-80.11921,77.27757,2.310031,-79.34289,77.03286,0.5719165,-80.31631,79.74439,-6.745723,-68.88359,75.62931,-14.76385,-51.13422,65.89807,-19.70036,-86.78787,106.4882,-26.27281,-51.85992,78.13273
0.0006006006,4.516491,-79.45764,74.94115,4.110329,-78.97509,74.86476,2.479449,-80.25586,77.77641,-4.496569,-70.08867,74.58524,-13.016,-52.26571,65.28171,-15.82052,-83.56484,99.38537,-23.74467,-43.52927,67.27393
0.0007007007,6.39233,-79.11838,72.72604,6.044487,-78.7797,72.73521,4.377986,-80.06983,75.69185,-2.362004,-70.83279,73.1948,-11.14534,-53.52399,64.66933,-12.15254,-81.20733,93.35986,-21.33226,-53.21289,74.54515
0.0008008008,8.412481,-79.03262,70.62013,8.08459,-78.76552,70.68092,6.325623,-79.90022,73.5746,-0.2704264,-71.3543,71.62473,-9.187881,-54.84265,64.03053,-8.681767,-79.51865,88.20041,-18.80065,-56.71229,75.51294
0.0009009009,10.53693,-79.07758,68.54066,10.20735,-78.81991,68.61256,8.340609,-79.79499,71.45438,1.818182,-71.76597,69.94779,-7.168015,-56.17231,63.34032,-5.392107,-77.98139,83.3735,-16.40348,-50.85565,67.25914
0.001001001,12.73585,-79.20966,66.4738,12.39248,-78.93436,66.54189,10.42274,-79.75603,69.3333,3.923172,-72.10606,68.18289,-5.102945,-57.47312,62.57606,-2.269448,-76.52682,78.79626,-14.08431,-56.98356,71.06787
0.001101101,14.98745,-79.42137,64.43391,14.62406,-79.12576,64.5017,12.56396,-79.78215,67.21819,6.051761,-72.4321,66.38034,-3.005167,-58.73195,61.73711,0.7031078,-75.22279,74.51969,-11.67239,-60.03387,71.70626
0.001201201,17.27493,-79.65313,62.37819,16.88864,-79.32323,62.43459,14.75353,-79.8597,65.10617,8.204659,-72.75778,64.55312,-0.8839427,-59.9368,60.82074,3.540167,-73.92374,70.38357,-9.337481,-55.96584,65.30332
0.001301301,19.58454,-79.8862,60.30166,19.17415,-79.51944,60.34529,16.98015,-79.96737,62.98722,10.3785,-73.06705,62.68855,1.253432,-61.07364,59.82021,6.25251,-72.70467,66.45216,-7.062566,-59.82223,66.8848
0.001401401,21.9055,-80.12635,58.22086,21.47096,-79.7314,58.26043,19.23303,-80.09383,60.8608,12.56801,-73.37312,60.80511,3.40101,-62.14184,58.74083,8.851592,-71.67002,62.81843,-4.72512,-62.40564,67.13077
0.001501502,24.22899,-80.34027,56.11128,23.77084,-79.91431,56.14346,21.50241,-80.22596,58.72355,14.76754,-73.67242,58.90488,5.553883,-63.13946,57.58558,11.34715,-70.70778,59.36063,-2.436535,-59.70576,62.1423
0.001601602,26.54725,-80.51711,53.96987,26.06615,-80.06149,53.99534,23.7795,-80.34766,56.56815,16.97111,-73.94482,56.97372,7.707749,-64.06054,56.35279,13.74611,-69.81718,56.07108,-0.1992834,-62.1579,62.35718
0.001701702,28.85386,-80.66471,51.81085,28.35067,-80.18784,51.83717,26.05648,-80.45076,54.39428,19.17293,-74.19367,55.02074,9.858748,-64.90685,55.0481,16.05586,-69.03851,52.98265,2.074033,-64.29875,62.22472
0.001801802,31.14336,-80.76352,49.62016,30.61896,-80.26539,49.64643,28.32647,-80.52712,52.20066,21.36776,-74.41521,53.04745,12.00344,-65.6791,53.67566,18.28273,-68.27886,49.99614,4.312068,-62.55364,58.24157
0.001901902,33.41068,-80.80614,47.39546,32.86586,-80.28821,47.42236,30.58336,-80.56638,49.98302,23.55071,-74.59414,51.04343,14.1386,-66.37431,52.2357,20.43108,-67.52763,47.09655,6.50354,-64.06271,57.55917
0.002002002,35.65146,-80.79957,45.14811,35.08701,-80.26832,45.18131,32.8217,-80.56345,47.74175,25.71723,-74.73141,49.01419,16.26121,-66.99419,50.73298,22.50542,-66.82351,44.31809,8.709908,-65.76584,57.05593
0.002102102,37.86187,-80.73233,42.87046,37.27856,-80.18862,42.91007,35.03666,-80.51374,45.47709,27.86329,-74.82526,46.96196,18.36844,-67.54003,49.17159,24.50963,-66.11611,41.60648,10.88693,-64.6479,53.76098
0.002202202,40.03826,-80.59895,40.56069,39.43676,-80.04385,40.60709,37.22388,-80.41085,43.18697,29.98519,-74.86527,44.88008,20.45761,-68.01024,47.55263,26.44622,-65.3991,38.95288,13.01972,-65.49274,52.47301
0.002302302,42.17737,-80.40501,38.22764,41.55835,-79.84328,38.28493,39.37944,-80.25175,40.87231,32.07947,-74.85161,42.77214,22.52611,-68.40604,45.87993,28.31767,-64.7037,36.38602,15.15077,-66.79243,51.64166
0.002402402,44.27627,-80.14412,35.86786,43.64037,-79.57698,35.9366,41.49976,-80.03406,38.5343,34.14303,-74.78409,40.64106,24.57148,-68.72878,44.1573,30.12626,-63.9982,33.87194,17.25411,-66.07095,48.81684
0.002502502,46.33211,-79.81207,33.47995,45.67995,-79.24025,33.5603,43.58157,-79.75397,36.17239,36.173,-74.65598,38.48298,26.59135,-68.97759,42.38624,31.87326,-63.27114,31.39787,19.31374,-66.43171,47.11797
0.002602603,48.34229,-79.41313,31.07085,47.67445,-78.8401,31.16565,45.62189,-79.40974,33.78785,38.16664,-74.46705,36.30041,28.58341,-69.15334,40.56992,33.55997,-62.54301,28.98304,21.35826,-67.36098,46.00272
0.002702703,50.30442,-78.94433,28.63991,49.62154,-78.37151,28.74997,47.61793,-79.00037,31.38244,40.12149,-74.21807,34.09658,30.54546,-69.25726,38.7118,35.1876,-61.79478,26.60719,23.37433,-66.87858,43.50425
0.002802803,52.21619,-78.4024,26.18621,51.51884,-77.83037,26.31153,49.56712,-78.52379,28.95667,42.0352,-73.90496,31.86976,32.47535,-69.28902,36.81367,36.75671,-61.01416,24.25745,25.34624,-66.8606,41.51436
0.002902903,54.07542,-77.79052,23.71511,53.36419,-77.22177,23.85758,51.46705,-77.97907,26.51202,43.90554,-73.52725,29.62172,34.371,-69.24919,34.87819,38.26783,-60.21569,21.94785,27.29197,-67.44364,40.15167
0.003003003,55.88007,-77.10793,21.22787,55.15559,-76.54401,21.38843,53.31546,-77.36605,24.05059,45.73042,-73.08618,27.35576,36.23042,-69.13892,32.9085,39.72151,-59.39096,19.66945,29.20686,-67.08894,37.88207
0.003103103,57.62822,-76.35237,18.72415,56.8911,-75.79382,18.90272,55.11025,-76.68388,21.57364,47.5079,-72.57964,25.07175,38.05169,-68.95834,30.90665,41.11791,-58.52889,17.41098,31.07681,-66.7715,35.69469
0.003203203,59.31798,-75.52592,16.20795,58.56884,-74.97453,16.40569,56.84939,-75.93217,19.08279,49.23605,-72.007,22.77095,39.83289,-68.70781,28.87493,42.45707,-57.63846,15.18139,32.91117,-67.0095,34.09833
0.003303303,60.94762,-74.62941,13.68179,60.18711,-74.08672,13.8996,58.53101,-75.11134,16.58033,50.91311,-71.3697,20.45659,41.57222,-68.38844,26.81622,43.73912,-56.71808,12.97896,34.71093,-66.70739,31.99646
0.003403403,62.51551,-73.66151,11.14599,61.74429,-73.12813,11.38384,60.15335,-74.22136,14.06802,52.53741,-70.66709,18.12968,43.26797,-68.0007,24.73273,44.96402,-55.75842,10.7944,36.46476,-66.1771,29.71234
0.003503504,64.01998,-72.62353,8.603546,63.23871,-72.10072,8.862013,61.71465,-73.26229,11.54764,54.10725,-69.89861,15.79136,44.91837,-67.54495,22.62658,46.1315,-54.76369,8.632185,38.17562,-66.06174,27.88612
0.003603604,65.45959,-71.51714,6.057542,64.66897,-71.00636,6.337395,63.21338,-72.23489,9.021516,55.62115,-69.06564,13.44449,46.52183,-67.02223,20.5004,47.24152,-53.73604,6.494517,39.84697,-65.72295,25.87598
0.003703704,66.83292,-70.34199,3.509068,66.03365,-69.84399,3.81034,64.648,-71.13976,6.491757,57.07761,-68.16853,11.09092,48.07677,-66.43327,18.3565,48.29387,-52.66911,4.37524,41.47109,-65.05652,23.58543
0.003803804,68.13854,-69.09895,0.9604058,67.33134,-68.61462,1.283286,66.01704,-69.97735,3.960307,58.4752,-67.2071,8.731898,49.58163,-65.77857,16.19694,49.28822,-51.56369,2.275466,43.04665,-64.61073,21.56407
0.003903904,69.37529,-67.79001,-1.585284,68.56089,-67.32062,-1.240273,67.31924,-68.7487,1.429458,59.81265,-66.18254,6.369888,51.03502,-65.05916,14.02414,50.22441,-50.42336,0.1989448,44.57715,-64.15356,19.57641
0.004004004,70.54189,-66.41573,-4.126159,69.72105,-65.96214,-3.758911,68.55323,-67.45474,-1.098486,61.08863,-65.09583,4.007205,52.43546,-64.27591,11.84045,51.10213,-49.24519,-1.856944,46.05868,-63.3961,17.33741
0.004104104,71.63725,-64.97691,-6.660336,70.81074,-64.53983,-6.270911,69.71788,-66.09645,-3.621431,62.30199,-63.94738,1.645393,53.78167,-63.42962,9.647953,51.92115,-48.02794,-3.893214,47.48767,-62.66666,15.17899
0.004204204,72.66025,-63.47539,-9.184858,71.82883,-63.05583,-8.773005,70.81198,-64.67487,-6.137118,63.4515,-62.73806,-0.7134385,55.07227,-62.52115,7.448882,52.68113,-46.7749,-5.906226,48.86617,-62.02547,13.15929
0.004304304,73.60999,-61.91259,-11.69739,72.77448,-61.51146,-11.26302,71.83456,-63.19138,-8.643183,64.53617,-61.46935,-3.066822,56.30611,-61.55168,5.245573,53.3819,-45.48594,-7.895966,50.19315,-61.17912,10.98597
0.004404404,74.48555,-60.28946,-14.19609,73.64674,-59.90738,-13.73936,72.78464,-61.64723,-11.13741,65.55499,-60.14209,-5.41289,57.48201,-60.52217,3.040165,54.02323,-44.15945,-9.863783,51.46483,-60.24039,8.775563
0.004504505,75.28606,-58.60771,-16.67835,74.44475,-58.24548,-16.19927,73.66125,-60.0437,-13.61756,66.50695,-58.75725,-7.749705,58.59881,-59.4336,0.8347856,54.60483,-42.79758,-11.80725,52.68145,-59.3805,6.699057
0.004604605,76.01083,-56.86922,-19.14161,75.16786,-56.52769,-18.64017,74.46367,-58.38237,-16.0813,67.39128,-57.31639,-10.07489,59.65554,-58.28722,-1.36831,55.12661,-41.40191,-13.72469,53.8434,-58.41911,4.575709
0.004704705,76.65913,-55.07523,-21.58389,75.81533,-54.75501,-21.06032,75.19107,-56.66473,-18.52634,68.20709,-55.82077,-12.38632,60.65114,-57.08418,-3.566955,55.58834,-39.9715,-15.61684,54.94779,-57.32067,2.372888
0.004804805,77.23037,-53.22748,-24.00289,76.38659,-52.92921,-23.45738,75.8428,-54.89233,-20.95047,68.95368,-54.27155,-14.68213,61.58472,-55.82565,-5.759073,55.98993,-38.50762,-17.48231,55.99369,-56.25847,0.2647745
0.004904905,77.724,-51.32799,-26.39601,76.88107,-51.05239,-25.82868,76.41823,-53.06684,-23.35139,69.63033,-52.67031,-16.96002,62.45538,-54.5129,-7.942482,56.33124,-37.01243,-19.31881,56.98177,-55.14666,-1.83511
0.005005005,78.1396,-49.37839,-28.76121,77.29839,-49.12604,-28.17235,76.91687,-51.19003,-25.72684,70.23647,-51.01862,-19.21786,63.26236,-53.14731,-10.11505,56.61227,-35.48584,-21.12642,57.91009,-53.91164,-3.998441
0.005105105,78.47681,-47.3805,-31.09631,77.63819,-47.15194,-30.48626,77.33829,-49.26365,-28.07464,70.77161,-49.31789,-21.45371,64.00492,-51.7302,-12.27472,56.833,-33.92889,-22.90411,58.77748,-52.67004,-6.107445
0.005205205,78.73526,-45.33639,-33.39887,77.90009,-45.13221,-32.76788,77.68203,-47.28949,-30.39254,71.23516,-47.56974,-23.66543,64.68233,-50.26294,-14.41939,56.9934,-32.3436,-24.6498,59.58421,-51.40584,-8.178365
0.005305305,78.91471,-43.24798,-35.66673,78.08385,-43.0687,-35.01515,77.94778,-45.26947,-32.67831,71.62675,-45.77589,-25.85085,65.29396,-48.74701,-16.54696,57.09353,-30.73084,-26.36268,60.32932,-50.04898,-10.28034
0.005405406,79.01522,-41.1173,-37.89791,78.18953,-40.96336,-37.22617,78.13552,-43.20561,-34.9299,71.94621,-43.93811,-28.00809,65.83943,-47.18399,-18.65545,57.13364,-29.09156,-28.04208,61.01177,-48.64111,-12.37066
0.005505505,79.03649,-38.94636,-40.09013,78.21685,-38.81822,-39.39863,78.24487,-41.09978,-37.14509,72.19307,-42.05798,-30.13509,66.31808,-45.57528,-20.7428,57.11373,-27.42736,-29.68637,61.63114,-47.21871,-14.41243
0.005605605,78.97871,-36.73741,-42.2413,78.16598,-36.63552,-41.53046,78.27594,-38.9541,-39.32184,72.36731,-40.13746,-32.22985,66.72962,-43.92259,-22.80704,57.03412,-25.73995,-31.29417,62.1874,-45.75175,-16.43565
0.005705706,78.84177,-34.49248,-44.3493,78.03683,-34.41722,-43.61961,78.22855,-36.77058,-41.45797,72.46864,-38.17832,-34.29031,67.07356,-42.22743,-24.84613,56.89494,-24.03046,-32.86448,62.67973,-44.22029,-18.45944
0.005805806,78.62604,-32.2138,-46.41224,77.82974,-32.16552,-45.66422,78.10296,-34.5514,-43.55156,72.49715,-36.18251,-36.31465,67.34976,-40.49156,-26.8582,56.69661,-22.30029,-34.39632,63.1077,-42.64332,-20.46437
0.005905906,78.33152,-29.90353,-48.42799,77.54473,-29.88254,-47.66219,77.89912,-32.29863,-45.60049,72.45271,-34.15184,-38.30087,67.55782,-38.71657,-28.84125,56.43933,-20.551,-35.88833,63.47085,-41.03736,-22.43349
0.006006006,77.95862,-27.56399,-50.39463,77.18219,-27.57059,-49.61161,77.61732,-30.0145,-47.60283,72.33543,-32.08833,-40.2471,67.69763,-36.90424,-30.79339,56.12353,-18.78428,-37.33925,63.76914,-39.39935,-24.36979
0.006106106,77.50797,-25.19754,-52.31042,76.74275,-25.232,-51.51075,77.25813,-27.70132,-49.55681,72.14571,-29.99407,-42.15164,67.76934,-35.05646,-32.71288,55.74986,-17.00176,-38.74809,64.00256,-37.72361,-26.27895
0.006206206,76.97986,-22.80644,-54.17341,76.22669,-22.86899,-53.3577,76.82175,-25.36129,-51.46047,71.88364,-27.87105,-44.01258,67.77276,-33.17495,-34.59781,55.31866,-15.205,-40.11367,64.17081,-36.00746,-28.16336
