time,Bus1_A,Bus1_B,Bus1_C,Bus2_A,Bus2_B,Bus2_C,Bus3_A,Bus3_B,Bus3_C,Bus5_A,Bus5_B,Bus5_C,Bus6_A,Bus6_B,Bus6_C,Bus8_A,Bus8_B,Bus8_C,Bus9_A,Bus9_B,Bus9_C
0,-23.96033,-46.03088,69.99121,-23.71982,-45.21712,68.93694,-25.94525,-43.64657,69.59183,-28.58182,-35.10596,63.68778,-32.23064,-27.72269,59.95334,-42.053,-116.7883,158.8413,-40.23808,-13.32155,53.55962
0.0001001001,1.324438,-92.4257,91.10126,-2.139944,-84.98685,87.12679,-13.668,-65.59717,79.26517,-20.53734,-50.1615,70.69884,-18.54608,-52.44517,70.99124,-37.1426,-111.368,148.5106,-37.56626,-39.7535,77.31976
0.0002002002,0.7329366,-87.42718,86.69424,-1.330792,-83.19984,84.53062,-7.247595,-75.38053,82.62812,-15.50159,-59.03463,74.53622,-18.23541,-50.7889,69.02431,-32.366,-105.4748,137.8408,-34.36683,-44.76772,79.13455
0.0003003003,1.053049,-84.21105,83.158,-0.2028104,-81.80901,82.01182,-3.512742,-79.45711,82.96985,-11.79296,-64.47717,76.27014,-17.33458,-50.40152,67.7361,-27.75346,-99.15372,126.9072,-31.52346,-33.39838,64.92184
0.0004004004,1.993921,-82.17561,80.18169,1.193174,-80.80972,79.61654,-0.9699931,-80.91171,81.88171,-8.844619,-67.74525,76.58987,-16.03537,-50.78123,66.8166,-23.34515,-93.483,116.8282,-28.84932,-49.08164,77.93096
0.0005005005,3.357879,-80.96243,77.60455,2.806926,-80.19077,77.38383,1.086303,-81.23717,80.15086,-6.341169,-69.71735,76.05853,-14.46918,-51.6312,66.10037,-19.15622,-89.11877,108.275,-26.03363,-52.8404,78.87403
0.0006006006,5.015659,-80.23343,75.21777,4.595311,-79.76561,75.1703,2.985516,-81.12731,78.14179,-4.081459,-70.91421,74.99567,-12.72115,-52.75085,65.472,-15.19024,-85.74128,100.9315,-23.46949,-44.18804,67.65753
0.0007007007,6.880543,-79.83882,72.95828,6.521516,-79.52007,72.99856,4.875022,-80.88953,76.01451,-1.940579,-71.63669,73.57726,-10.84707,-54.00257,64.84964,-11.44406,-83.25639,94.70044,-21.02611,-54.12688,75.153
0.0008008008,8.894124,-79.70779,70.81366,8.55681,-79.46349,70.90668,6.814861,-80.67043,73.85558,0.1554309,-72.13082,71.97539,-8.884037,-55.31786,64.20189,-7.902551,-81.46404,89.36659,-18.46028,-57.6832,76.14349
0.0009009009,11.01515,-79.71349,68.69834,10.67721,-79.4794,68.80219,8.823936,-80.51958,71.69564,2.247948,-72.51307,70.26512,-6.857181,-56.64576,63.50294,-4.549028,-79.82773,84.37675,-16.03451,-51.5935,67.62801
0.001001001,13.21291,-79.81101,66.5981,12.86185,-79.55925,66.6974,10.90211,-80.43895,69.53684,4.357008,-72.82299,68.46599,-4.784198,-57.94521,62.7294,-1.368898,-78.27771,79.64661,-13.6899,-57.87796,71.56786
0.001101101,15.46499,-79.99267,64.52768,15.09438,-79.72037,64.62599,13.04113,-80.42738,67.38625,6.490123,-73.12002,66.62989,-2.677931,-59.2027,61.88063,1.655326,-76.88351,75.22819,-11.25053,-60.96384,72.21436
0.001201201,17.7541,-80.19698,62.44287,17.36096,-79.88971,62.52875,15.22999,-80.47078,65.24078,8.648089,-73.41827,64.77018,-0.5478829,-60.40587,60.95375,4.538776,-75.49554,70.95676,-8.89142,-56.72798,65.6194
0.001301301,20.06613,-80.40466,60.33852,19.64922,-80.05972,60.4105,17.45709,-80.54723,63.09013,10.82749,-73.70126,62.87376,1.598476,-61.54028,59.94181,7.292611,-74.19086,66.89825,-6.594915,-60.6676,67.26252
0.001401401,22.39003,-80.62168,58.23165,21.94929,-80.24799,58.29871,19.71138,-80.64504,60.93367,13.02297,-73.98267,60.9597,3.755066,-62.60534,58.85027,9.928705,-73.07735,63.14865,-4.234517,-63.28017,67.51469
0.001501502,24.71676,-80.81365,56.09689,24.25274,-80.40826,56.15553,21.98283,-80.75072,58.76789,15.22873,-74.2588,59.03007,5.916881,-63.59905,57.68217,12.45715,-72.03926,59.58211,-1.925404,-60.45036,62.37577
0.001601602,27.03838,-80.96949,53.93112,26.55175,-80.53379,53.98204,24.26245,-80.84766,56.5852,17.43868,-74.50893,57.07025,8.079537,-64.51531,56.43577,14.88516,-71.07638,56.19122,0.3303983,-62.95194,62.62154
0.001701702,29.34834,-81.09725,51.74891,28.83997,-80.63986,51.79989,26.54223,-80.92748,54.38525,19.64689,-74.73657,55.08968,10.23911,-65.356,55.11689,17.22038,-70.22974,53.00936,2.622799,-65.10918,62.48639
0.001801802,31.64106,-81.17676,49.5357,31.11186,-80.69763,49.58577,28.81516,-80.9818,52.16664,21.84805,-74.93783,53.08979,12.39211,-66.12186,53.72974,19.46943,-69.40375,49.93432,4.878163,-63.26701,58.38885
0.001901902,33.91138,-81.20046,47.28907,33.36215,-80.70107,47.33892,31.07497,-80.9999,49.92493,24.03714,-75.09696,51.05982,14.53528,-66.80983,52.27455,21.63682,-68.58766,46.95084,7.085179,-64.79782,57.71265
0.002002002,36.1549,-81.17558,45.02069,35.58643,-80.66261,45.07618,33.31614,-80.97663,47.6605,26.20953,-75.21499,49.00546,16.66555,-67.42175,50.75621,23.72728,-67.82136,44.09407,9.307295,-66.50972,57.20242
0.002102102,38.36769,-81.09025,42.72256,37.78078,-80.5645,42.78372,35.53371,-80.90721,45.3735,28.36115,-75.29008,46.92893,18.78006,-67.95896,49.1789,25.74486,-67.05257,41.30771,11.49853,-65.31821,53.81969
0.002202202,40.54607,-80.93889,40.39281,39.94139,-80.40147,40.46007,37.7233,-80.78509,43.06179,30.48822,-75.31152,44.82331,20.8761,-68.41983,47.54372,27.69219,-66.27527,38.58308,13.64406,-66.16663,52.52257
0.002302302,42.68675,-80.72726,38.04051,42.06497,-80.18304,38.11807,39.88088,-80.60712,40.72625,32.58723,-75.27953,42.6923,22.95105,-68.80566,45.85461,29.57192,-65.52151,35.94959,15.78766,-67.46757,51.6799
0.002402402,44.78675,-80.44872,35.66196,44.14853,-79.8989,35.75037,42.00285,-80.37089,38.36804,34.65506,-75.19389,40.53883,25.00242,-69.11785,44.11543,31.3864,-64.75833,33.37194,17.90224,-66.6868,48.78456
0.002502502,46.84322,-80.09901,33.25578,46.18917,-79.54435,33.35518,44.0859,-80.07246,35.98656,36.6888,-75.04767,38.35887,27.02782,-69.35554,42.32772,33.13702,-63.9744,30.83738,19.97182,-67.04265,47.07083
0.002602603,48.85353,-79.68254,30.829,48.18424,-79.12656,30.94232,46.127,-79.71007,33.58307,38.68568,-74.8407,36.15501,29.02494,-69.51964,40.4947,34.82518,-63.19064,28.36545,22.02574,-67.96632,45.94058
0.002702703,50.81529,-79.19618,28.38089,50.13137,-78.64031,28.50894,48.12336,-79.28266,31.1593,40.64322,-74.57373,33.93051,30.99154,-69.61143,38.61989,36.45217,-62.38742,25.93526,24.05025,-67.43597,43.38572
0.002802803,52.72614,-78.63661,25.91047,52.02818,-78.08142,26.05325,50.07236,-78.78809,28.71573,42.55906,-74.24255,31.6835,32.92548,-69.63058,36.7051,38.01862,-61.55225,23.53363,26.02932,-67.40305,41.37374
0.002902903,54.58392,-78.00713,23.4232,53.87251,-77.45515,23.58264,51.97161,-78.22546,26.25385,44.43095,-73.84676,29.41581,34.82469,-69.57774,34.75306,39.52515,-60.70004,21.17489,27.98152,-67.97307,39.99155
0.003003003,56.38661,-77.30692,20.92031,55.66237,-76.75973,21.09736,53.81883,-77.59457,23.77575,46.25681,-73.38758,27.13077,36.68714,-69.45408,32.76694,40.97237,-59.82213,18.84975,29.90201,-67.58241,37.68039
0.003103103,58.13221,-76.53358,18.40137,57.39575,-75.99168,18.59594,55.61186,-76.8945,21.28264,48.03464,-72.86279,24.82815,38.51088,-69.25966,30.74878,42.36045,-58.90709,16.54664,31.77627,-67.24648,35.47021
0.003203203,59.81892,-75.68942,15.8705,59.07085,-75.15464,16.08378,57.34876,-76.12494,18.77618,49.76259,-72.27189,22.5093,40.29406,-68.99502,28.70096,43.68958,-57.96441,14.27483,33.61429,-67.46919,33.85491
0.003303303,61.44496,-74.77514,13.33018,60.68593,-74.24902,13.56309,59.02758,-75.28622,16.25865,51.43883,-71.61625,20.17742,42.03483,-68.66119,26.62637,44.95987,-56.99223,12.03235,35.41685,-67.12787,31.71102
0.003403403,63.00869,-73.78937,10.78067,62.23936,-73.27252,11.03316,60.64657,-74.37836,13.73179,53.06171,-70.8952,17.83349,43.73145,-68.25868,24.52723,46.17134,-55.98096,9.809614,37.17228,-66.57507,29.4028
0.003503504,64.50849,-72.73355,8.225058,63.72952,-72.22726,8.497741,62.20402,-73.40141,11.19738,54.62955,-70.10821,15.47866,45.38222,-67.78792,22.4057,47.32382,-54.93524,7.611419,38.88404,-66.44777,27.56373
0.003603604,65.94288,-71.60929,5.666414,65.15495,-71.11501,5.960068,63.69833,-72.3561,8.65777,56.14083,-69.25667,13.11584,46.98549,-67.24992,20.26443,48.41725,-53.85706,5.439806,40.55549,-66.07382,25.51833
