time,Bus1_A,Bus1_B,Bus1_C,Bus2_A,Bus2_B,Bus2_C,Bus3_A,Bus3_B,Bus3_C,Bus5_A,Bus5_B,Bus5_C,Bus6_A,Bus6_B,Bus6_C,Bus8_A,Bus8_B,Bus8_C,Bus9_A,Bus9_B,Bus9_C
0,-23.96033,-46.03088,69.99121,-23.71982,-45.21712,68.93694,-25.94525,-43.64657,69.59183,-28.58182,-35.10596,63.68778,-32.23064,-27.72269,59.95334,-42.053,-112.8289,154.8819,-40.23808,-13.32155,53.55962
0.0001001001,0.4938345,-90.82263,90.3288,-2.838935,-83.62048,86.45941,-14.03402,-64.87157,78.90559,-20.76096,-49.68114,70.44209,-18.97908,-51.61829,70.59737,-37.28226,-107.6614,144.9437,-37.6178,-38.87014,76.48795
0.0002002002,0.0002644808,-86.06197,86.06171,-1.983304,-81.95537,83.93867,-7.768829,-74.36391,82.13274,-15.84002,-58.29423,74.13425,-18.62082,-50.0799,68.70071,-32.63908,-102.037,134.6761,-34.48753,-43.7543,78.24182
0.0003003003,0.3863071,-83.01804,82.63174,-0.8195884,-80.67054,81.49013,-4.092086,-78.35248,82.44456,-12.19771,-63.59841,75.79612,-17.69254,-49.76376,67.4563,-28.15265,-96.00121,124.1539,-31.69913,-32.86739,64.56652
0.0004004004,1.371468,-81.11064,79.73917,0.6031352,-79.76141,79.15828,-1.564009,-79.81139,81.3754,-9.287599,-66.80471,76.09231,-16.3792,-50.18605,66.56525,-23.86175,-90.59254,114.4543,-29.07258,-48.04172,77.1143
0.0005005005,2.765104,-79.99419,77.22909,2.236365,-79.21719,76.98082,0.4956589,-80.17979,79.68413,-6.805698,-68.75998,75.56567,-14.80754,-51.06054,65.86808,-19.78102,-86.44199,106.223,-26.30831,-51.71992,78.02823
0.0006006006,4.442493,-79.34264,74.90015,4.038433,-78.8579,74.81947,2.404424,-80.12666,77.72224,-4.558112,-69.96626,74.52437,-13.05971,-52.19378,65.25349,-15.91396,-83.24254,99.15651,-23.78547,-43.44123,67.2267
0.0007007007,6.319949,-79.01155,72.6916,5.973764,-78.66991,72.69614,4.304299,-79.94831,75.64401,-2.42448,-70.71362,73.1381,-11.18956,-53.45304,64.6426,-12.25757,-80.90304,93.16061,-21.37774,-53.07967,74.45741
0.0008008008,8.341078,-78.93252,70.59144,8.014584,-78.66203,70.64745,6.253093,-79.78604,73.53294,-0.3335601,-71.23918,71.57275,-9.232926,-54.7722,64.00513,-8.797289,-79.23029,88.02758,-18.85113,-56.56678,75.41791
0.0009009009,10.46603,-78.9833,68.51727,10.13769,-78.72211,68.58443,8.268955,-79.68757,71.41862,1.754469,-71.65521,69.90074,-7.214097,-56.10212,63.31621,-5.517094,-77.70745,83.22455,-16.45825,-50.74437,67.20263
0.001001001,12.66513,-79.12051,66.45538,12.3229,-78.84173,66.51884,10.35167,-79.65479,69.30312,3.858856,-71.99978,68.14092,-5.150199,-57.40313,62.55333,-2.402956,-76.26716,78.67011,-14.14277,-56.85656,70.99934
0.001101101,14.91666,-79.33669,64.42002,14.55434,-79.03762,64.48328,12.49322,-79.68649,67.19328,5.986773,-72.33012,66.34335,-3.05368,-58.66216,61.71584,0.5619406,-74.97657,74.41463,-11.73489,-59.89214,71.62703
0.001201201,17.2039,-79.57249,62.3686,16.81862,-79.23924,62.42062,14.68289,-79.7691,65.08621,8.138919,-72.65987,64.52094,-0.9337638,-59.86726,60.80102,3.392123,-73.69067,70.29855,-9.403654,-55.85174,65.25539
0.001301301,19.51314,-79.80933,60.2962,19.10372,-79.43935,60.33562,16.90944,-79.88141,62.97197,10.31193,-72.97302,62.66109,1.202279,-61.00446,59.80218,6.098313,-72.48438,66.38606,-7.131898,-59.70105,66.83295
0.001401401,21.83367,-80.05293,58.21926,21.40005,-79.65482,58.25477,19.16212,-80.01211,60.84999,12.50056,-73.28276,60.7822,3.348521,-62.07313,58.72461,8.691909,-71.46145,62.76954,-4.797812,-62.27359,67.0714
0.001501502,24.15668,-80.27009,56.11341,23.6994,-79.84106,56.14166,21.43119,-80.14816,58.71697,14.69917,-73.58549,58.88632,5.500068,-63.07132,57.57125,11.18259,-70.51037,59.32778,-2.512344,-59.59359,62.10594
0.001601602,26.47444,-80.45005,53.97561,25.99417,-79.99148,53.99731,23.70791,-80.27353,56.56562,16.90179,-73.86119,56.9594,7.652631,-63.99312,56.34049,13.57725,-69.63052,56.05328,-0.2778151,-62.04596,62.32378
0.001701702,28.78056,-80.60059,51.82004,28.27813,-80.12084,51.84271,25.98446,-80.38009,54.39562,19.10266,-74.11319,55.01053,9.80236,-64.84026,55.03791,15.88321,-68.86194,52.97873,1.992728,-64.17612,62.1834
0.001801802,31.06958,-80.70225,49.63268,30.54589,-80.2013,49.65541,28.25402,-80.45972,52.2057,21.29656,-74.33773,53.04117,11.94582,-65.61346,53.66765,18.1068,-68.11205,50.00525,4.228109,-62.4454,58.2173
0.001901902,33.33644,-80.74767,47.41123,32.79228,-80.227,47.43472,30.51048,-80.5021,49.99163,23.4786,-74.51959,51.04099,14.07979,-66.30974,52.22994,20.25233,-67.37045,47.11811,6.417271,-63.95986,57.54259
0.002002002,35.57682,-80.74384,45.16701,35.01297,-80.20988,45.19691,32.7484,-80.5022,47.7538,25.64424,-74.65972,49.01548,16.20127,-66.9308,50.72953,22.32428,-66.67563,44.35135,8.621411,-65.65438,57.03297
0.002102102,37.78688,-80.67927,42.89239,37.2041,-80.1329,42.92879,34.96297,-80.45541,45.49245,27.78948,-74.75636,46.96687,18.30742,-67.47794,49.17051,24.32651,-65.97726,41.65075,10.79624,-64.5425,53.74626
0.002202202,39.96298,-80.54855,40.58557,39.36195,-79.99083,40.62888,37.14985,-80.35537,43.20552,29.91062,-74.79911,44.88849,20.39557,-67.94952,47.55395,26.2615,-65.2692,39.00771,12.92714,-65.39779,52.47064
0.002302302,42.10186,-80.35724,38.25539,41.48324,-79.79292,38.30968,39.3051,-80.19907,40.89397,32.00419,-74.78818,42.78398,22.46311,-68.3468,45.88369,28.13173,-64.5825,36.45078,15.05639,-66.69151,51.63512
0.002402402,44.20058,-80.09895,35.89837,43.56503,-79.52924,35.9642,41.42517,-79.98412,38.55895,34.06712,-74.72334,40.65621,24.5076,-68.6711,44.1635,29.93944,-63.88547,33.94603,17.15797,-65.9773,48.81933
0.002502502,46.25633,-79.76952,33.51318,45.60445,-79.19516,33.59071,43.50681,-79.70674,36.19994,36.09653,-74.59789,38.50137,26.52664,-68.92155,42.39491,31.68591,-63.16688,31.48097,19.21617,-66.34592,47.12976
0.002602603,48.26649,-79.3732,31.10671,47.59888,-78.79765,31.19877,45.547,-79.36521,33.81821,38.08969,-74.41165,36.32196,28.51795,-69.09903,40.58107,33.3724,-62.44703,29.07463,21.25934,-67.27134,46.012
0.002702703,50.22869,-78.90699,28.6783,49.54596,-78.33165,28.7857,47.543,-78.95853,31.41552,40.04414,-74.16534,34.1212,30.47932,-69.20474,38.72542,35.00012,-61.70689,26.70677,23.2741,-66.79204,43.51794
0.002802803,52.14058,-78.36767,26.22709,51.44332,-77.79314,26.34982,49.49221,-78.4846,28.99238,41.95753,-73.8549,31.89737,32.40861,-69.23837,36.82975,36.56962,-60.9344,24.36478,25.24497,-66.78568,41.54071
0.002902903,54.00002,-77.75841,23.75839,53.28883,-77.18718,23.89836,51.39225,-77.94254,26.55029,43.82764,-73.47988,29.65224,34.30374,-69.20048,34.89674,38.08143,-60.14392,22.06249,27.18979,-67.36485,40.17506
0.003003003,55.80497,-77.07842,21.27346,55.08045,-76.51202,21.43157,53.24083,-77.33216,24.09134,45.65237,-73.04149,27.38912,36.16271,-69.09219,32.92949,39.53606,-59.32701,19.79095,29.10378,-67.01267,37.90889
0.003103103,57.55349,-76.32547,18.77198,56.81627,-75.76445,18.94818,55.03587,-76.65264,21.61677,47.42979,-72.53764,25.10784,37.9836,-68.91364,30.93004,40.93369,-58.47276,17.53907,30.97302,-66.70907,35.73604
0.003203203,59.24372,-75.50169,16.25798,58.49442,-74.94784,16.45342,56.77536,-75.9036,19.12824,49.15799,-71.96774,22.80974,39.76452,-68.66524,28.90072,42.27435,-57.59018,15.31583,32.80696,-66.9459,34.13893
