time,Bus1_A,Bus1_B,Bus1_C,Bus2_A,Bus2_B,Bus2_C,Bus3_A,Bus3_B,Bus3_C,Bus5_A,Bus5_B,Bus5_C,Bus6_A,Bus6_B,Bus6_C,Bus8_A,Bus8_B,Bus8_C,Bus9_A,Bus9_B,Bus9_C
0,-23.96033,-46.03088,69.99121,-23.71982,-45.21712,68.93694,-25.94525,-43.64657,69.59183,-28.58182,-35.10596,63.68778,-32.23064,-27.72269,59.95334,-42.053,-111.8777,153.9307,-40.23808,-13.32155,53.55962
0.0001001001,0.2942571,-90.43743,90.14317,-3.006881,-83.29217,86.29905,-14.1219,-64.69736,78.81926,-20.81466,-49.56577,70.38043,-19.08312,-51.4196,70.50272,-37.31581,-106.7712,144.087,-37.63026,-38.66556,76.29581
0.0002002002,-0.175774,-85.73396,85.90974,-2.140081,-81.65638,83.79646,-7.894054,-74.11967,82.01372,-15.92132,-58.11636,74.03768,-18.71342,-49.90954,68.62296,-32.70469,-101.2113,133.916,-34.51647,-43.50861,78.02507
0.0003003003,0.2261109,-82.73139,82.50529,-0.9677789,-80.39699,81.36477,-4.231279,-78.08709,82.31837,-12.29495,-63.38728,75.68223,-17.77855,-49.61052,67.38907,-28.24856,-95.24403,123.4926,-31.74136,-32.73763,64.47899
0.0004004004,1.221918,-80.85478,79.63287,0.4613711,-79.50957,79.04819,-1.706733,-79.547,81.25374,-9.394034,-66.57871,75.97275,-16.46181,-50.04305,66.50486,-23.98587,-89.89825,113.8841,-29.12617,-47.79554,76.92171
0.0005005005,2.622679,-79.76157,77.13889,2.099279,-78.98328,76.884,0.353749,-79.92574,79.57199,-6.917306,-68.52996,75.44727,-14.88883,-50.92344,65.81226,-19.93114,-85.79909,105.7302,-26.37424,-51.44915,77.82339
0.0006006006,4.304775,-79.12861,74.82384,3.904631,-78.63982,74.73518,2.264808,-79.88625,77.62144,-4.672631,-69.73853,74.41117,-13.14106,-52.05994,65.201,-16.08784,-82.64155,98.72939,-23.86134,-43.24738,67.10872
0.0007007007,6.18526,-78.8128,72.62754,5.842161,-78.46566,72.6235,4.167176,-79.72218,75.555,-2.540745,-70.49184,73.03259,-11.27184,-53.32101,64.59286,-12.45303,-80.33791,92.79094,-21.46217,-52.8242,74.28637
0.0008008008,8.2082,-78.74625,70.53805,7.884306,-78.46948,70.58517,6.118121,-79.57355,73.45543,-0.4510473,-71.02496,71.47601,-9.316751,-54.6411,63.95785,-9.012261,-78.69355,87.70582,-18.94501,-56.29734,75.24235
0.0009009009,10.3341,-78.80787,68.47378,10.00806,-78.54017,68.53211,8.135613,-79.48767,71.35206,1.635903,-71.4491,69.81319,-7.299851,-55.9715,63.27135,-5.749686,-77.1981,82.94779,-16.56004,-50.54162,67.10166
0.001001001,12.53352,-78.95461,66.42109,12.1934,-78.66934,66.47594,10.21942,-79.46638,69.24696,3.739168,-71.80199,68.06282,-5.238136,-57.27288,62.51102,-2.651404,-75.78413,78.43553,-14.25156,-56.60868,70.86024
0.001101101,14.78492,-79.17906,64.39415,14.42459,-78.87357,64.44897,12.36157,-79.50849,67.14692,5.865837,-72.14034,66.27451,-3.143959,-58.53229,61.67625,0.2992344,-74.5182,74.21897,-11.85132,-59.63046,71.48179
0.001201201,17.0717,-79.42245,62.35075,16.68831,-79.08296,62.39465,14.55144,-79.60051,65.04907,8.016583,-72.47765,64.46106,-1.026477,-59.73785,60.76432,3.116622,-73.25702,70.1404,-9.526719,-55.64268,65.1694
0.001301301,19.38028,-79.66631,60.28603,18.97265,-79.29029,60.31764,16.77786,-79.72144,62.94358,10.18806,-72.79806,62.61,1.107087,-60.87572,59.76863,5.811367,-72.07436,66.263,-7.260916,-59.4684,66.72931
