bus,Zg_norm,Zl_norm,beta_mean,beta_std
1,103688.671875,4696.3173828125,0.0254049114882946,0.003436504164710641
2,102505.8828125,4277.68896484375,0.02474401518702507,0.0029300388414412737
3,103175.3671875,3861.94091796875,0.023946287110447884,0.0024406497832387686
5,98375.203125,1946.4906005859375,0.021323727443814278,0.004116967786103487
6,94305.984375,4502.6328125,0.026217147707939148,0.005749192554503679
8,81121.6796875,4420.2353515625,0.02717549353837967,0.0038358496967703104
9,89115.1328125,5240.12255859375,0.02876434661448002,0.00744297169148922
